site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
 LMEL  -70.2039  -33.8261     1796872.6186    -4992068.4676    -3531499.0722    2012.283 2014.810   2.53 
 LMHS  -70.7518  -37.0241     1681074.7124    -4814336.1394    -3820292.2163    2010.251 2013.856   3.61 
 LPGS  -57.9323  -34.9067     2780102.9800    -4437418.8875    -3629404.5561    2000.001 2021.988  21.99 
 LSCH  -71.2460  -29.9082     1779017.4374    -5239626.3083    -3161595.3596    2006.889 2021.985  15.10 
 LVIL  -71.5139  -31.9092     1718361.5678    -5139769.5277    -3351907.8594    2003.571 2021.985  18.41 
 MA01  -68.0574  -38.9510     1856059.0994    -4607179.6280    -3988295.6353    2009.596 2018.232   8.64 
 MABA  -49.1223   -5.3624     4156055.6370    -4801656.5264     -592100.5604    2007.678 2021.988  14.31 
 MAPA  -51.0973    0.0467     4005461.1286    -4963550.3368        5162.3602    2010.001 2017.316   7.32 
 MAUL  -70.8214  -35.8096     1701483.9414    -4891892.0912    -3711772.5375    2003.977 2020.728  16.75 
 MCLA  -70.2475  -22.7458     1989220.1399    -5539677.5528    -2451183.0400    2005.840 2021.988  16.15 
 MECO  -58.0758  -29.1849     2946968.5674    -4730056.9779    -3091864.9914    2006.799 2007.999   1.20 
 MICA  -69.8273  -21.7148     2044900.1198    -5566051.0941    -2345718.9688    2008.086 2012.220   4.13 
 MNMI  -69.5957  -19.1314     2102407.5909    -5651893.0733    -2077868.1956    2007.284 2021.988  14.70 
 MRCG  -69.1302  -26.8353     2030136.5880    -5324822.5647    -2863744.1079    2014.095 2021.988   7.89 
 MSCG  -54.5407  -20.4409     3468912.0713    -4870550.4528    -2213735.4289    2008.001 2021.210  13.21 
 MSDR  -54.9304  -22.1941     3395050.1692    -4836120.4971    -2394508.4534    2013.522 2021.988   8.47 
 MTVB  -59.9516  -15.0064     3085619.6661    -5334029.5934    -1640843.7393    2012.439 2016.029   3.59 
 MZAC  -68.8756  -32.8952     1932262.6730    -5001226.5233    -3444667.8514    2004.419 2021.985  17.57 
 MZAE  -68.1501  -33.2548     1987261.2495    -4955975.7243    -3477976.9544    2007.453 2019.308  11.85 
 MZAL  -68.5952  -32.7207     1960467.6426    -5001296.5359    -3428284.7707    2013.327 2021.985   8.66 
 MZAS  -68.3345  -34.6149     1940230.2142    -4884145.4510    -3603203.6694    2010.001 2010.812   0.81 
 MZAU  -69.1184  -33.7360     1892847.8203    -4961662.9512    -3522715.3108    2011.473 2018.864   7.39 
 MZSR  -68.3343  -34.6155     1940234.6013    -4884106.2659    -3603256.2636    2010.919 2016.832   5.91 
